Category,Course Title,Course Code,R1 Points,Course Level,HE Institution,AQA,Year,Points
Environment,Sustainable Energy Engineering,MT837,408,8,Munster Technological University,False,2025,408
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,MT838,477,8,Munster Technological University,False,2025,477
Health,Biomedical Engineering,MT839,465,8,Munster Technological University,False,2025,465
Engineering and engineering trades,Smart Product Engineering,MT844,373,8,Munster Technological University,False,2025,373
Engineering and engineering trades,Electrical Engineering,MT845,380,8,Munster Technological University,False,2025,380
Engineering and engineering trades,Electronic Engineering,MT846,347,8,Munster Technological University,False,2025,347
Transport services,Automotive Business Management and Technology,MT847,318,8,Munster Technological University,False,2025,318
Agriculture,Agricultural Engineering,MT848,305,8,Munster Technological University,False,2025,305
Architecture and construction,Construction Management,MT856,379,8,Munster Technological University,False,2025,379
Architecture and construction,Quantity Surveying,MT857,421,8,Munster Technological University,False,2025,421
Architecture and construction,Architectural Technology,MT859,368,8,Munster Technological University,False,2025,368
Architecture and construction,Interior Architecture,MT860,398,8,Munster Technological University,False,2025,398
Physical sciences,Physical Sciences (Common Entry),MT870,337,8,Munster Technological University,False,2025,337
Biological and related sciences,Biomedical Science (offered jointly MTU Cork Campus and UCC),MT871,555,8,Munster Technological University,False,2025,555
Physical sciences,Pharmaceutical Science (Degree Award option: Biopharmaceutics),MT872,309,8,Munster Technological University,False,2025,309
Biological and related sciences,Pharmaceutical Biotechnology,MT873,442,8,Munster Technological University,False,2025,442
Physical sciences,Analytical Chemistry with Quality Assurance,MT874,370,8,Munster Technological University,False,2025,370
Biological and related sciences,Biological Sciences (Common Entry),MT875,456,8,Munster Technological University,False,2025,456
Health,Nutrition and Health Science,MT876,388,8,Munster Technological University,False,2025,388
Biological and related sciences,Agricultural Science (Semester 2 of year 2 is in Teagasc Clonakilty Agricultural College),MT877,331,8,Munster Technological University,False,2025,331
Environment,Environmental Science and Sustainable Technology,MT878,339,8,Munster Technological University,False,2025,339
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,MT879,370,8,Munster Technological University,False,2025,370
Environment,Wildlife Biology,MT880,349,8,Munster Technological University,False,2025,349
Veterinary,Veterinary Bioscience,MT881,306,8,Munster Technological University,False,2025,306
Education,Physical Education Studies with Business,MT906,401,8,Munster Technological University,False,2025,401
Personal services,Sport and Exercise Management,MT910,402,8,Munster Technological University,False,2025,402
Personal services,"Health, Sport and Exercise Sciences",MT911,328,8,Munster Technological University,False,2025,328
Personal services,Health and Exercise Sciences with Massage Therapy,MT912,326,8,Munster Technological University,False,2025,326
Personal services,Coaching and Sports Performance,MT913,300,8,Munster Technological University,False,2025,300
Personal services,Coaching Science and Sports Pedagogy,MT915,408,8,Munster Technological University,False,2025,408
Welfare,"Counselling with Addiction (Mature applicants only,interview - Delivered in Galilee House of Studies, Athy, Co Kildare)",MT925,,8,Munster Technological University,False,2025,
Health,General Nursing,MT926,380,8,Munster Technological University,False,2025,380
Health,Mental Health Nursing,MT927,341,8,Munster Technological University,False,2025,341
Business and administration,Food Business,MT929,389,8,Munster Technological University,False,2025,389
Education,Home Economics and Business (First three years in MTU; Final two years in UCC),MT930,484,8,Munster Technological University,False,2025,484
Arts,"Popular Music - Electric Guitar (entrance assessment,audition)",MT931,429,8,Munster Technological University,False,2025,429
Arts,"Popular Music - Electric Bass (entrance assessment,audition)",MT932,400,8,Munster Technological University,False,2025,400
Arts,"Popular Music - Keyboards (entrance assessment,audition)",MT933,312,8,Munster Technological University,False,2025,312
Arts,"Popular Music - Drums (entrance assessment,audition)",MT934,422,8,Munster Technological University,False,2025,422
Arts,"Popular Music - Voice (entrance assessment,audition)",MT935,431,8,Munster Technological University,False,2025,431
Arts,"Music (entrance assessment,audition)",MT936,297,8,Munster Technological University,False,2025,297
Arts,"Musical Theatre (entrance assessment,audition)",MT938,465,8,Munster Technological University,False,2025,465
Arts,"Theatre and Drama Studies (entrance assessment,audition)",MT939,280,8,Munster Technological University,False,2025,280
Personal services,Event Management (3 Year Programme),MT940,272,8,Munster Technological University,False,2025,272
Business and administration,Business (Common Entry),MT941,301,8,Munster Technological University,False,2025,301
Business and administration,Accounting,MT942,303,8,Munster Technological University,False,2025,303
Business and administration,Marketing,MT943,358,8,Munster Technological University,False,2025,358
Business and administration,Business Information Systems,MT944,351,8,Munster Technological University,False,2025,351
Business and administration,International Business with Language,MT945,337,8,Munster Technological University,False,2025,337
Business and administration,Global Business and Pilot Studies,MT946,329,8,Munster Technological University,False,2025,329
Personal services,Tourism Management,MT947,280,8,Munster Technological University,False,2025,280
Personal services,Hospitality Management,MT948,308,8,Munster Technological University,False,2025,308
Business and administration,Business Technology and Communications,MT951,270,8,Munster Technological University,False,2025,270
Education,Montessori Education,MT970,339,8,Munster Technological University,False,2025,339
Welfare,Early Childhood Education and Care,MT971,307,8,Munster Technological University,False,2025,307
Welfare,Early Childhood Education and Care,MT972,340,8,Munster Technological University,False,2025,340
Welfare,Social Care,MT974,308,8,Munster Technological University,False,2025,308
Humanities (except languages),Theology and Arts (jointly awarded with Maynooth University),MU001,290,8,"Pontifical University, St Patrick's College",False,2025,290
Humanities (except languages),Theology,MU002,408,8,"Pontifical University, St Patrick's College",False,2025,408
Humanities (except languages),Philosophy,MU004,329,8,"Pontifical University, St Patrick's College",False,2025,329
Information and Communication Technologies (ICTs),Computing,NC003,262,8,National College of Ireland (NCI),False,2025,262
Business and administration,Human Resource Management,NC005,271,8,National College of Ireland (NCI),False,2025,271
Business and administration,Business,NC009,270,8,National College of Ireland (NCI),False,2025,270
Social and behavioural sciences,Psychology,NC010,385,8,National College of Ireland (NCI),False,2025,385
Business and administration,Marketing Practice,NC020,227,8,National College of Ireland (NCI),False,2025,227
Business and administration,Accounting and Finance,NC022,336,8,National College of Ireland (NCI),False,2025,336
Information and Communication Technologies (ICTs),Data Science,NC025,290,8,National College of Ireland (NCI),False,2025,290
Education,Early Childhood Education and Care,NC030,228,8,National College of Ireland (NCI),False,2025,228
Information and Communication Technologies (ICTs),Computing,NC102,154,6,National College of Ireland (NCI),False,2025,154
Business and administration,Business,NC103,129,6,National College of Ireland (NCI),False,2025,129
Information and Communication Technologies (ICTs),Data Science,NC105,200,6,National College of Ireland (NCI),False,2025,200
Welfare,Applied Social Studies - Professional Social Care,PC404,196,7,"Carlow College, St. Patrick`s",False,2025,196
Humanities (except languages),Arts and Humanities,PC410,278,8,"Carlow College, St. Patrick`s",False,2025,278
Humanities (except languages),English and History,PC411,291,8,"Carlow College, St. Patrick`s",False,2025,291
Social and behavioural sciences,Psychology,PC414,306,8,"Carlow College, St. Patrick`s",False,2025,306
Health,Medicine (Undergraduate Entry - HPAT required),RC001,733,8,RCSI University of Medicine & Health Sciences,False,2025,733
Health,Physiotherapy,RC004,566,8,RCSI University of Medicine & Health Sciences,False,2025,566
Health,Pharmacy,RC005,589,8,RCSI University of Medicine & Health Sciences,False,2025,589
Health,Advanced Therapeutic Technologies,RC006,487,8,RCSI University of Medicine & Health Sciences,False,2025,487
Health,Dentistry,RC007,613,8,RCSI University of Medicine & Health Sciences,False,2025,613
Health,Medicine (Graduate Entry - GAMSAT required),RC101,58,8,RCSI University of Medicine & Health Sciences,False,2025,58
Personal services,Strength and Conditioning,SC601,222,6,Setanta College,False,2025,222
Personal services,Strength and Conditioning,SC701,244,7,Setanta College,False,2025,244
Personal services,Strength and Conditioning,SC801,222,8,Setanta College,False,2025,222
Arts,Arts,SE200,AQA,8,South East Technological University,True,2025,0
Arts,Design (Visual Communications),SE201,301,8,South East Technological University,False,2025,301
Arts,Product Design Innovation,SE202,252,8,South East Technological University,False,2025,252
Arts,Visual Art,SE203,271,8,South East Technological University,False,2025,271
Arts,Visual Communications and Design,SE204,235,8,South East Technological University,False,2025,235
Social and behavioural sciences,Psychology,SE205,433,8,South East Technological University,False,2025,433
Arts,Music (audition),SE206,282,8,South East Technological University,False,2025,282
Arts,Art (portfolio),SE207,700,8,South East Technological University,False,2025,700
Arts,TV and Media Production,SE208,311,8,South East Technological University,False,2025,311
Arts,Design,SE209,308,7,South East Technological University,False,2025,308
Arts,Visual Communications and Design,SE210,214,7,South East Technological University,False,2025,214
Arts,Art (portfolio),SE211,700,7,South East Technological University,False,2025,700
Arts,TV and Media Production,SE212,270,7,South East Technological University,False,2025,270
Information and Communication Technologies (ICTs),Content Creation and Social Media,SE300,308,8,South East Technological University,False,2025,308
Information and Communication Technologies (ICTs),Content Creation and Social Media,SE301,224,7,South East Technological University,False,2025,224
Business and administration,Business - with/without a language,SE400,273,8,South East Technological University,False,2025,273
Business and administration,Business,SE401,260,8,South East Technological University,False,2025,260
Business and administration,Business,SE402,328,8,South East Technological University,False,2025,328
Business and administration,Business with Law,SE403,271,8,South East Technological University,False,2025,271
Law,Law (LLB),SE404,325,8,South East Technological University,False,2025,325
Law,Law (LLB),SE405,300,8,South East Technological University,False,2025,300
Law,Criminal Justice Studies,SE406,287,8,South East Technological University,False,2025,287
Business and administration,Accounting,SE407,319,8,South East Technological University,False,2025,319
Business and administration,Accounting,SE408,308,8,South East Technological University,False,2025,308
Business and administration,Public Relations and Media,SE409,276,8,South East Technological University,False,2025,276
Business and administration,Marketing and Digital Media,SE410,300,8,South East Technological University,False,2025,300
Business and administration,Digital Marketing with Analytics,SE411,290,8,South East Technological University,False,2025,290
Business and administration,International Business,SE412,290,8,South East Technological University,False,2025,290
Business and administration,Business Information Systems,SE413,319,8,South East Technological University,False,2025,319
Business and administration,Business,SE414,211,7,South East Technological University,False,2025,211
Business and administration,Business,SE415,206,7,South East Technological University,False,2025,206
Business and administration,Business,SE416,179,7,South East Technological University,False,2025,179
Journalism and information,Public Relations and Media,SE417,202,7,South East Technological University,False,2025,202
Business and administration,Digital Marketing with Analytics,SE418,258,7,South East Technological University,False,2025,258
Business and administration,Fashion Buying and Retail Management,SE419,206,7,South East Technological University,False,2025,206
Business and administration,Business,SE420,152,6,South East Technological University,False,2025,152
Business and administration,Business with Law,SE421,262,6,South East Technological University,False,2025,262
Law,Legal Studies,SE422,220,6,South East Technological University,False,2025,220
Law,Legal Studies,SE423,204,6,South East Technological University,False,2025,204
Biological and related sciences,Science,SE500,279,8,South East Technological University,False,2025,279
Biological and related sciences,Science,SE501,308,8,South East Technological University,False,2025,308
Agriculture,Agricultural Science,SE502,381,8,South East Technological University,False,2025,381
Agriculture,Sustainable Farm Management and Agribusiness,SE503,280,8,South East Technological University,False,2025,280
Physical sciences,Pharmaceutical Science,SE504,289,8,South East Technological University,False,2025,289
Forestry ,Forestry,SE505,271,7,South East Technological University,False,2025,271
Agriculture,Horticulture,SE506,217,7,South East Technological University,False,2025,217
Agriculture,Horticulture,SE507,206,7,South East Technological University,False,2025,206
Agriculture,Agriculture,SE508,315,7,South East Technological University,False,2025,315
Agriculture,Sustainable Farm Management and Agribusiness,SE509,252,7,South East Technological University,False,2025,252
Biological and related sciences,Food Science,SE510,336,7,South East Technological University,False,2025,336
Physical sciences,Pharmaceutical Science,SE511,223,7,South East Technological University,False,2025,223
Biological and related sciences,Science,SE512,285,7,South East Technological University,False,2025,285
Physical sciences,Analytical Science,SE513,359,7,South East Technological University,False,2025,359
Biological and related sciences,Molecular Biology with Biopharmaceutical Science,SE514,269,7,South East Technological University,False,2025,269
Biological and related sciences,Biosciences,SE515,233,7,South East Technological University,False,2025,233
Biological and related sciences,Science - Applied Biology or Applied Chemistry,SE516,290,6,South East Technological University,False,2025,290
Biological and related sciences,Applied Microbiology,SE519,312,8,South East Technological University,False,2025,312
Biological and related sciences,Applied Microbiology,SE520,268,7,South East Technological University,False,2025,268
Manufacturing and processing,Brewing and Distilling,SE521,370,8,South East Technological University,False,2025,370
Information and Communication Technologies (ICTs),Computer Science,SE600,309,8,South East Technological University,False,2025,309
Information and Communication Technologies (ICTs),Information Technology Management,SE601,309,8,South East Technological University,False,2025,309
Information and Communication Technologies (ICTs),Computer Forensics and Security,SE602,309,8,South East Technological University,False,2025,309
Information and Communication Technologies (ICTs),Software Development,SE603,318,8,South East Technological University,False,2025,318
Information and Communication Technologies (ICTs),Software Systems Development,SE604,320,8,South East Technological University,False,2025,320
Information and Communication Technologies (ICTs),Creative Computing,SE605,336,8,South East Technological University,False,2025,336
Information and Communication Technologies (ICTs),Cyber Crime and IT Security,SE606,309,8,South East Technological University,False,2025,309
Information and Communication Technologies (ICTs),Computer Games Development,SE607,308,8,South East Technological University,False,2025,308
Arts,Computing in Interactive Digital Art and Design,SE608,321,8,South East Technological University,False,2025,321
Information and Communication Technologies (ICTs),Software Development,SE609,244,7,South East Technological University,False,2025,244
Information and Communication Technologies (ICTs),Software Systems Development,SE610,224,7,South East Technological University,False,2025,224
Information and Communication Technologies (ICTs),Creative Computing,SE611,222,7,South East Technological University,False,2025,222
Information and Communication Technologies (ICTs),Cyber Crime and IT Security,SE612,244,7,South East Technological University,False,2025,244
Information and Communication Technologies (ICTs),Information Technology,SE613,204,7,South East Technological University,False,2025,204
Information and Communication Technologies (ICTs),Information Technology Management,SE614,290,7,South East Technological University,False,2025,290
Arts,Computing in Interactive Digital Art and Design,SE615,228,7,South East Technological University,False,2025,228
Information and Communication Technologies (ICTs),Computing - Applications or Programming,SE616,216,6,South East Technological University,False,2025,216
Information and Communication Technologies (ICTs),Computer Games Programming,SE618,308,7,South East Technological University,False,2025,308
Engineering and engineering trades,Engineering,SE700,307,8,South East Technological University,False,2025,307
Architecture and construction,Architecture,SE701,409,8,South East Technological University,False,2025,409
Architecture and construction,Architectural Technology,SE702,331,8,South East Technological University,False,2025,331
Architecture and construction,Architectural and Building Information Modelling Technology,SE703,308,8,South East Technological University,False,2025,308
Architecture and construction,Quantity Surveying,SE704,283,8,South East Technological University,False,2025,283
Architecture and construction,Quantity Surveying,SE705,312,8,South East Technological University,False,2025,312
Architecture and construction,Construction Management,SE706,300,8,South East Technological University,False,2025,300
Architecture and construction,Construction Management and Engineering,SE707,270,8,South East Technological University,False,2025,270
Engineering and engineering trades,Electronic Engineering,SE708,299,8,South East Technological University,False,2025,299
Engineering and engineering trades,Biomedical Electronics,SE709,288,8,South East Technological University,False,2025,288
Engineering and engineering trades,Robotics and Automated Systems,SE710,309,8,South East Technological University,False,2025,309
Engineering and engineering trades,Mechanical Engineering,SE711,433,8,South East Technological University,False,2025,433
Engineering and engineering trades,Mechanical and Manufacturing Engineering,SE712,272,8,South East Technological University,False,2025,272
Architecture and construction,Civil Engineering,SE713,444,8,South East Technological University,False,2025,444
Engineering and engineering trades,Aerospace Engineering,SE714,462,8,South East Technological University,False,2025,462
Architecture and construction,Architectural Technology,SE716,238,7,South East Technological University,False,2025,238
Architecture and construction,Architectural Technology,SE717,289,7,South East Technological University,False,2025,289
Architecture and construction,Civil Engineering,SE719,219,7,South East Technological University,False,2025,219
Engineering and engineering trades,Electrical Engineering,SE720,216,7,South East Technological University,False,2025,216
Engineering and engineering trades,Electronic Engineering,SE721,215,7,South East Technological University,False,2025,215
Engineering and engineering trades,Electronic Engineering,SE722,242,7,South East Technological University,False,2025,242
Engineering and engineering trades,Mechanical Engineering,SE723,204,7,South East Technological University,False,2025,204
Engineering and engineering trades,Mechanical Engineering,SE724,368,7,South East Technological University,False,2025,368
Engineering and engineering trades,Manufacturing Engineering,SE725,322,7,South East Technological University,False,2025,322
Architecture and construction,Construction Management,SE726,261,7,South East Technological University,False,2025,261
Engineering and engineering trades,Biomedical Electronics,SE727,356,7,South East Technological University,False,2025,356
Engineering and engineering trades,Robotics and Automated Systems,SE728,271,7,South East Technological University,False,2025,271
Engineering and engineering trades,Aircraft Systems,SE729,410,7,South East Technological University,False,2025,410
Engineering and engineering trades,Electronic Engineering,SE730,443,6,South East Technological University,False,2025,443
Engineering and engineering trades,Mechanical Engineering,SE731,200,6,South East Technological University,False,2025,200
Engineering and engineering trades,Agricultural Systems Engineering,SE732,313,8,South East Technological University,False,2025,313
Engineering and engineering trades,Agricultural Systems Engineering,SE733,263,7,South East Technological University,False,2025,263
Architecture and construction,Set Design and Construction,SE734,318,8,South East Technological University,False,2025,318
Architecture and construction,Set Design and Construction,SE735,244,7,South East Technological University,False,2025,244
Health,Health Sciences,SE900,309,8,South East Technological University,False,2025,309
Health,Sport Rehabilitation and Athletic Therapy,SE901,487,8,South East Technological University,False,2025,487
Personal services,Exercise Sciences,SE902,280,8,South East Technological University,False,2025,280
Health,Strength and Conditioning,SE903,340,8,South East Technological University,False,2025,340
Personal services,Sports Coaching and Performance,SE904,280,8,South East Technological University,False,2025,280
Personal services,Sport and Exercise Science,SE905,433,8,South East Technological University,False,2025,433
Personal services,Recreation and Sport Management,SE906,272,8,South East Technological University,False,2025,272
Personal services,Sports Management and Coaching (Gaelic Games - portfolio),SE907,700,8,South East Technological University,False,2025,700
Personal services,Sports Management and Coaching (Rugby - portfolio),SE908,700,8,South East Technological University,False,2025,700
Personal services,Sports Management and Coaching (Football - portfolio),SE909,700,8,South East Technological University,False,2025,700
Personal services,"Sport, Business and Coaching",SE910,308,8,South East Technological University,False,2025,308
Welfare,Early Childhood Care and Education,SE911,270,8,South East Technological University,False,2025,270
Welfare,Early Childhood Education and Practice,SE912,249,8,South East Technological University,False,2025,249
Welfare,Early Childhood Education and Practice,SE913,297,8,South East Technological University,False,2025,297
Health,Psychiatric Nursing,SE914,326,8,South East Technological University,False,2025,326
Health,General Nursing,SE915,409,8,South East Technological University,False,2025,409
Health,Intellectual Disability Nursing,SE916,309,8,South East Technological University,False,2025,309
Welfare,Applied Social Studies in Professional Social Care,SE917,280,8,South East Technological University,False,2025,280
Welfare,Professional Social Care Practice,SE918,260,8,South East Technological University,False,2025,260
Welfare,Social Care Practice,SE919,260,8,South East Technological University,False,2025,260
Welfare,Social Science,SE920,310,8,South East Technological University,False,2025,310
Personal services,Hospitality Management,SE921,288,8,South East Technological University,False,2025,288
Personal services,Tourism and Event Management,SE922,473,8,South East Technological University,False,2025,473
Personal services,Culinary Arts,SE923,253,8,South East Technological University,False,2025,253
Personal services,Tourism and Hospitality Services,SE924,260,7,South East Technological University,False,2025,260
Personal services,Tourism and Event Management,SE925,288,7,South East Technological University,False,2025,288
Welfare,Professional Social Care Practice,SE926,188,7,South East Technological University,False,2025,188
Welfare,Applied Social Care,SE927,188,7,South East Technological University,False,2025,188
Health,Applied Health Care,SE928,226,7,South East Technological University,False,2025,226
Personal services,Sport Coaching and Business Management (Gaelic Games - portfolio),SE929,700,7,South East Technological University,False,2025,700
Personal services,Sport Coaching and Business Management (Rugby - portfolio),SE930,700,7,South East Technological University,False,2025,700
Personal services,Sport Coaching and Business Management (Football - portfolio),SE931,700,7,South East Technological University,False,2025,700
Personal services,"Sport, Business and Coaching",SE932,252,7,South East Technological University,False,2025,252
Personal services,Recreation and Sport Management,SE933,202,7,South East Technological University,False,2025,202
Welfare,Early Childhood Education and Practice,SE934,AQA,7,South East Technological University,True,2025,0
Welfare,Early Childhood Education and Practice,SE935,213,7,South East Technological University,False,2025,213
Health,Physiology and Health Science,SE936,440,6,South East Technological University,False,2025,440
Health,Pharmacy Technician Studies,SE937,200,6,South East Technological University,False,2025,200
Personal services,Culinary Arts,SE938,169,6,South East Technological University,False,2025,169
Arts,Music,TR002,476,8,Trinity College Dublin,False,2025,476
Humanities (except languages),History,TR003,526,8,Trinity College Dublin,False,2025,526
Law,Law,TR004,578,8,Trinity College Dublin,False,2025,578
Humanities (except languages),Philosophy,TR005,509,8,Trinity College Dublin,False,2025,509
Social and behavioural sciences,Psychology,TR006,578,8,Trinity College Dublin,False,2025,578
Health,Clinical Speech and Language Studies,TR007,541,8,Trinity College Dublin,False,2025,541
Education,"Music Education (interview,audition)",TR009,667,8,Trinity College Dublin,False,2025,667
Social and behavioural sciences,"Philosophy, Political Science, Economics and Sociology (PPES)",TR015,588,8,Trinity College Dublin,False,2025,588
Languages,Deaf Studies,TR016,358,8,Trinity College Dublin,False,2025,358
Law,Law and French,TR018,592,8,Trinity College Dublin,False,2025,592
Law,Law and German,TR019,541,8,Trinity College Dublin,False,2025,541
Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,495,8,Trinity College Dublin,False,2025,495
Languages,Early and Modern Irish,TR022,349,8,Trinity College Dublin,False,2025,349
Languages,English Studies,TR023,533,8,Trinity College Dublin,False,2025,533
Humanities (except languages),European Studies,TR024,564,8,Trinity College Dublin,False,2025,564
Arts,Drama and Theatre Studies (interview),TR025,506,8,Trinity College Dublin,False,2025,506
Humanities (except languages),Ancient and Medieval History and Culture,TR028,469,8,Trinity College Dublin,False,2025,469
Mathematics and statistics,Mathematics,TR031,598,8,Trinity College Dublin,False,2025,598
Engineering and engineering trades,Engineering,TR032,577,8,Trinity College Dublin,False,2025,577
Information and Communication Technologies (ICTs),Computer Science,TR033,543,8,Trinity College Dublin,False,2025,543
Business and administration,Management Science and Information Systems Studies,TR034,625,8,Trinity College Dublin,False,2025,625
Physical sciences,Theoretical Physics,TR035,571,8,Trinity College Dublin,False,2025,571
Engineering and engineering trades,Engineering with Management,TR038,617,8,Trinity College Dublin,False,2025,617
Information and Communication Technologies (ICTs),"Computer Science, Linguistics and a Language",TR039,531,8,Trinity College Dublin,False,2025,531
Languages,Middle Eastern and European Languages and Cultures,TR040,449,8,Trinity College Dublin,False,2025,449
Humanities (except languages),Religion,TR041,402,8,Trinity College Dublin,False,2025,402
Arts,Film,TR042,518,8,Trinity College Dublin,False,2025,518
Humanities (except languages),History of Art and Architecture,TR043,511,8,Trinity College Dublin,False,2025,511
Health,Medicine (Undergraduate Entry - HPAT required),TR051,739,8,Trinity College Dublin,False,2025,739
Health,Dental Science,TR052,625,8,Trinity College Dublin,False,2025,625
Health,Physiotherapy,TR053,577,8,Trinity College Dublin,False,2025,577
Health,Occupational Therapy,TR054,544,8,Trinity College Dublin,False,2025,544
Health,Radiation Therapy,TR055,534,8,Trinity College Dublin,False,2025,534
Health,Human Health and Disease,TR056,567,8,Trinity College Dublin,False,2025,567
Biological and related sciences,Biological and Biomedical Sciences,TR060,554,8,Trinity College Dublin,False,2025,554
Physical sciences,Chemical Sciences,TR061,543,8,Trinity College Dublin,False,2025,543
Physical sciences,Geography and Geoscience,TR062,472,8,Trinity College Dublin,False,2025,472
Physical sciences,Physical Sciences,TR063,538,8,Trinity College Dublin,False,2025,538
Environment,Environmental Science and Engineering,TR064,525,8,Trinity College Dublin,False,2025,525
Health,Pharmacy,TR072,601,8,Trinity College Dublin,False,2025,601
Business and administration,Global Business,TR080,602,8,Trinity College Dublin,False,2025,602
Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,566,8,Trinity College Dublin,False,2025,566
Welfare,Social Studies (Social Work),TR084,456,8,Trinity College Dublin,False,2025,456
Business and administration,Business Studies and French,TR085,555,8,Trinity College Dublin,False,2025,555
Business and administration,Business Studies and German,TR086,521,8,Trinity College Dublin,False,2025,521
Business and administration,Business Studies and Russian,TR087,467,8,Trinity College Dublin,False,2025,467
Business and administration,Business Studies and Polish,TR089,476,8,Trinity College Dublin,False,2025,476
Business and administration,Business Studies and Spanish,TR090,556,8,Trinity College Dublin,False,2025,556
Health,"General Nursing (Meath, St James`s and Naas)",TR091,423,8,Trinity College Dublin,False,2025,423
Health,"General Nursing (Adelaide School of Nursing,interview)",TR093,407,8,Trinity College Dublin,False,2025,407
Health,Mental Health Nursing,TR095,370,8,Trinity College Dublin,False,2025,370
Health,Intellectual Disability Nursing,TR097,338,8,Trinity College Dublin,False,2025,338
Health,Dental Nursing,TR801,466,7,Trinity College Dublin,False,2025,466
Health,Dental Hygiene (interview),TR802,590,7,Trinity College Dublin,False,2025,590
Health,Dental Technology (interview),TR803,601,7,Trinity College Dublin,False,2025,601
Health,Children`s and General Nursing (Integrated),TR911,529,8,Trinity College Dublin,False,2025,529
Health,Midwifery,TR913,510,8,Trinity College Dublin,False,2025,510
Biological and related sciences,Applied Biology,TU651,255,6,Technological University Dublin,False,2025,255
Information and Communication Technologies (ICTs),Computing,TU652,AQA,6,Technological University Dublin,True,2025,0
Health,Pharmacy Technician Studies,TU654,288,6,Technological University Dublin,False,2025,288
Business and administration,Business,TU670,AQA,6,Technological University Dublin,True,2025,0
Business and administration,Business (General Entry),TU678,252,6,Technological University Dublin,False,2025,252
Engineering and engineering trades,Automation Engineering and Robotics,TU701,255,7,Technological University Dublin,False,2025,255
Architecture and construction,Building Engineering,TU703,301,7,Technological University Dublin,False,2025,301
Architecture and construction,Civil Engineering,TU704,331,7,Technological University Dublin,False,2025,331
Engineering and engineering trades,Electrical and Control Engineering,TU705,AQA,7,Technological University Dublin,True,2025,0
Engineering and engineering trades,Electrical Services Engineering,TU706,AQA,7,Technological University Dublin,True,2025,0
Engineering and engineering trades,Engineering (General Entry),TU708,300,7,Technological University Dublin,False,2025,300
Engineering and engineering trades,Engineering (General Entry),TU709,451,7,Technological University Dublin,False,2025,451
Engineering and engineering trades,Computer Engineering,TU713,242,7,Technological University Dublin,False,2025,242
Engineering and engineering trades,Electronics and Communications Engineering,TU714,244,7,Technological University Dublin,False,2025,244
Engineering and engineering trades,Networking Technologies,TU716,251,7,Technological University Dublin,False,2025,251
Engineering and engineering trades,Mechanical Engineering,TU717,330,7,Technological University Dublin,False,2025,330
Engineering and engineering trades,Automotive Management and Technology,TU720,AQA,7,Technological University Dublin,True,2025,0
Engineering and engineering trades,Aviation Technology,TU721,360,7,Technological University Dublin,False,2025,360
Engineering and engineering trades,Process Instrumentation and Automation (Learn and Work),TU722,301,7,Technological University Dublin,False,2025,301
Engineering and engineering trades,Mechanical Engineering (General Entry),TU725,AQA,7,Technological University Dublin,True,2025,0
Engineering and engineering trades,Electronic Engineering and Engineering Software (General Entry),TU726,210,7,Technological University Dublin,False,2025,210
Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,350,7,Technological University Dublin,False,2025,350
Personal services,Sports Management and Coaching,TU735,260,7,Technological University Dublin,False,2025,260
Biological and related sciences,Sports Science and Health,TU736,451,7,Technological University Dublin,False,2025,451
Biological and related sciences,Sports Studies,TU737,301,7,Technological University Dublin,False,2025,301
Personal services,Baking and Pastry Arts Management,TU741,AQA,7,Technological University Dublin,True,2025,0
Personal services,Culinary Arts,TU742,AQA,7,Technological University Dublin,True,2025,0
Personal services,Hospitality Management,TU745,213,7,Technological University Dublin,False,2025,213
Personal services,International Hospitality and Tourism Management,TU746,AQA,7,Technological University Dublin,True,2025,0
Personal services,Tourism Management,TU747,AQA,7,Technological University Dublin,True,2025,0
Biological and related sciences,Biosciences,TU751,377,7,Technological University Dublin,False,2025,377
Biological and related sciences,DNA and Forensic Analysis,TU752,412,7,Technological University Dublin,False,2025,412
Physical sciences,Industrial and Environmental Physics,TU754,241,7,Technological University Dublin,False,2025,241
Physical sciences,Science (General Entry),TU755,330,7,Technological University Dublin,False,2025,330
Information and Communication Technologies (ICTs),Computing (General Entry),TU756,213,7,Technological University Dublin,False,2025,213
Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,260,7,Technological University Dublin,False,2025,260
Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,270,7,Technological University Dublin,False,2025,270
Biological and related sciences,Bioanalysis,TU760,300,7,Technological University Dublin,False,2025,300
Physical sciences,Ophthalmic Dispensing,TU761,404,7,Technological University Dublin,False,2025,404
Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,347,7,Technological University Dublin,False,2025,347
Biological and related sciences,Pharmaceutical Science,TU763,356,7,Technological University Dublin,False,2025,356
Information and Communication Technologies (ICTs),Secure Networking and Cloud Technologies (Learn and Work),TU767,306,7,Technological University Dublin,False,2025,306
Business and administration,Business (General Entry),TU772,AQA,7,Technological University Dublin,True,2025,0
Business and administration,Digital Marketing,TU781,200,7,Technological University Dublin,False,2025,200
