Course Title,Course Code,R1 Points,HE Institution,AQA,Year,Points,Course Level,Category
Business Computing [Aungier Street],TU914,306,Technological University Dublin,FALSE,2026,306,8,Information and Communication Technologies (ICTs)
Law (LL.B.) with a Language [Grangegorman],TU917,376,Technological University Dublin,FALSE,2026,376,8,Law
Law (LL.B.) [Grangegorman],TU918,430,Technological University Dublin,FALSE,2026,430,8,Law
Advertising and Marketing Communications [Tallaght],TU919,230,Technological University Dublin,FALSE,2026,230,8,Business and administration
Digital Marketing (Campus Options) [Blanchardstown OR Tallaght],TU920,261,Technological University Dublin,FALSE,2026,261,8,Business and administration
Marketing [Aungier Street],TU922,380,Technological University Dublin,FALSE,2026,380,8,Business and administration
E-Commerce in Retailing [Aungier Street],TU924,234,Technological University Dublin,FALSE,2026,234,8,Business and administration
Fashion and Retail Business [Aungier Street],TU925,300,Technological University Dublin,FALSE,2026,300,8,Business and administration
Business (General Entry) [Tallaght],TU932,227,Technological University Dublin,FALSE,2026,227,8,Business and administration
Accounting and Finance (Campus Options) [Blanchardstown OR Tallaght],TU933,311,Technological University Dublin,FALSE,2026,311,8,Business and administration
Sports Management and Coaching [Blanchardstown],TU935,290,Technological University Dublin,FALSE,2026,290,8,Personal services
Sports Science and Health [Tallaght],TU936,476,Technological University Dublin,FALSE,2026,476,8,Biological and related sciences
Culinary Arts [Grangegorman],TU942,306,Technological University Dublin,FALSE,2026,306,8,Personal services
International Hospitality and Tourism Management [Tallaght],TU951,232,Technological University Dublin,FALSE,2026,232,8,Personal services
International Hospitality Management [Grangegorman],TU952,244,Technological University Dublin,FALSE,2026,244,8,Personal services
Tourism and Digital Marketing [Grangegorman],TU953,251,Technological University Dublin,FALSE,2026,251,8,Personal services
Event Management [Grangegorman],TU954,306,Technological University Dublin,FALSE,2026,306,8,Personal services
Sports and Leisure Management [Grangegorman],TU955,301,Technological University Dublin,FALSE,2026,301,8,Personal services
Commercial Modern Music (BIMM) Audition [Francis Street],TU961,468,Technological University Dublin,FALSE,2026,468,8,Arts
Drama (Performance) Audition [Grangegorman],TU962,407,Technological University Dublin,FALSE,2026,407,8,Arts
International Business and Languages [Aungier St AND Grangegorman],TU965,279,Technological University Dublin,FALSE,2026,279,8,Languages
Design - Visual Communication [Portfolio] [Grangegorman],TU973,674,Technological University Dublin,FALSE,2026,674,8,Arts
Fine Art [Portfolio] [Grangegorman],TU974,689,Technological University Dublin,FALSE,2026,689,8,Arts
Interior Design [Portfolio] [Grangegorman],TU975,630,Technological University Dublin,FALSE,2026,630,8,Arts
Photography [Grangegorman],TU976,300,Technological University Dublin,FALSE,2026,300,8,Arts
Creative Industries and Visual Culture [Grangegorman],TU978,263,Technological University Dublin,FALSE,2026,263,8,Arts
Arts (Major/Minor Options Available) [Aungier Street AND Bolton St A],TU980,389,Technological University Dublin,FALSE,2026,389,8,Arts
Creative Digital Media [Blanchardstown],TU981,275,Technological University Dublin,FALSE,2026,275,8,Arts
Media Production and Digital Arts [Tallaght],TU982,261,Technological University Dublin,FALSE,2026,261,8,Arts
Film and Broadcasting [Grangegorman],TU983,469,Technological University Dublin,FALSE,2026,469,8,Arts
Game Design [Grangegorman],TU984,435,Technological University Dublin,FALSE,2026,435,8,Information and Communication Technologies (ICTs)
Journalism [Grangegorman],TU985,367,Technological University Dublin,FALSE,2026,367,8,Journalism and information
Early Childhood Education and Care (Campus Options) [Blanchardstown OR T,TU989,251,Technological University Dublin,FALSE,2026,251,8,Welfare
Applied Social Studies in Social Care [Blanchardstown],TU991,301,Technological University Dublin,FALSE,2026,301,8,Welfare
Community Development and Youth Work [Blanchardstown],TU992,244,Technological University Dublin,FALSE,2026,244,8,Social and behavioural sciences
Early Childhood Education [Grangegorman],TU995,346,Technological University Dublin,FALSE,2026,346,8,Education
Social Care [Grangegorman],TU996,390,Technological University Dublin,FALSE,2026,390,8,Welfare
Applied Social Care [Tallaght],TU997,307,Technological University Dublin,FALSE,2026,307,8,Welfare
Architecture,DN100,554,University College Dublin (NUI),FALSE,2026,554,8,Architecture and construction
Landscape Architecture,DN120,478,University College Dublin (NUI),FALSE,2026,478,8,Architecture and construction
City Planning and Environmental Policy,DN130,474,University College Dublin (NUI),FALSE,2026,474,8,Architecture and construction
Engineering,DN150,577,University College Dublin (NUI),FALSE,2026,577,8,Engineering and engineering trades
Science,DN200,540,University College Dublin (NUI),FALSE,2026,540,8,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
Computer Science,DN201,510,University College Dublin (NUI),FALSE,2026,510,8,Information and Communication Technologies (ICTs)
Actuarial & Financial Studies,DN230,602,University College Dublin (NUI),FALSE,2026,602,8,Mathematics and statistics
Sustainability,DN240,529,University College Dublin (NUI),FALSE,2026,529,8,Environment
Agricultural Science,DN250,417,University College Dublin (NUI),FALSE,2026,417,8,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
Food Science,DN261,479,University College Dublin (NUI),FALSE,2026,479,8,Agriculture
Human Nutrition,DN262,532,University College Dublin (NUI),FALSE,2026,532,8,Health
Veterinary Medicine - Undergraduate Entry (practical experience required,DN300,589,University College Dublin (NUI),FALSE,2026,589,8,Veterinary
Veterinary Medicine - Graduate Entry [GAMSAT required],DN301,,University College Dublin (NUI),FALSE,2026,,8,Veterinary
Veterinary Nursing,DN310,484,University College Dublin (NUI),FALSE,2026,484,8,Veterinary
Medicine - Undergraduate Entry [HPAT required],DN400,738,University College Dublin (NUI),FALSE,2026,738,8,Health
Medicine - Graduate Entry [GAMSAT required],DN401,,University College Dublin (NUI),FALSE,2026,,8,Health
Radiography,DN410,543,University College Dublin (NUI),FALSE,2026,543,8,Health
Diagnostic Radiography - Graduate Entry,DN411,,University College Dublin (NUI),FALSE,2026,,8,Health
Physiotherapy,DN420,578,University College Dublin (NUI),FALSE,2026,578,8,Health
"Sport, Health and Exercise Science",DN425,532,University College Dublin (NUI),FALSE,2026,532,8,Health
Sport and Exercise Management,DN430,477,University College Dublin (NUI),FALSE,2026,477,8,Business and administration
"Biomedical, Health and Life Sciences",DN440,579,University College Dublin (NUI),FALSE,2026,579,8,Biological and related sciences
General Nursing,DN450,434,University College Dublin (NUI),FALSE,2026,434,8,Health
Children`s and General Nursing (Integrated),DN451,510,University College Dublin (NUI),FALSE,2026,510,8,Health
Midwifery,DN452,495,University College Dublin (NUI),FALSE,2026,495,8,Health
Mental Health Nursing,DN453,410,University College Dublin (NUI),FALSE,2026,410,8,Health
Joint Honours,DN520,422,University College Dublin (NUI),FALSE,2026,422,8,Arts
Humanities,DN530,465,University College Dublin (NUI),FALSE,2026,465,8,Humanities (except languages)
Modern Languages,DN541,400,University College Dublin (NUI),FALSE,2026,400,8,Languages
Law,DN600,559,University College Dublin (NUI),FALSE,2026,559,8,Law
Business and Law,DN610,555,University College Dublin (NUI),FALSE,2026,555,8,Business and administration
Criminology with Psychology,DN620,510,University College Dublin (NUI),FALSE,2026,510,8,Law
Commerce,DN650,554,University College Dublin (NUI),FALSE,2026,554,8,Business and administration
Commerce International,DN660,543,University College Dublin (NUI),FALSE,2026,543,8,Business and administration
Economics and Finance,DN670,625,University College Dublin (NUI),FALSE,2026,625,8,Business and administration
Social Sciences,DN700,498,University College Dublin (NUI),FALSE,2026,498,8,Social and behavioural sciences
Economics,DN710,544,University College Dublin (NUI),FALSE,2026,544,8,Social and behavioural sciences
Psychology,DN720,548,University College Dublin (NUI),FALSE,2026,548,8,Social and behavioural sciences
Social Policy and Sociology,DN750,440,University College Dublin (NUI),FALSE,2026,440,8,Social and behavioural sciences
Education,DN760,422,University College Dublin (NUI),FALSE,2026,422,8,Education
International Business with Digitalisation,DK801,261,Dundalk Institute of Technology,FALSE,2026,261,8,Information and Communication Technologies (ICTs)
Business with Management,DK802,200,Dundalk Institute of Technology,FALSE,2026,200,8,Business and administration
Accounting and Finance,DK810,195,Dundalk Institute of Technology,FALSE,2026,195,8,Business and administration
Business Studies,DK816,209,Dundalk Institute of Technology,FALSE,2026,209,8,Business and administration
Digital Marketing and Strategic Communication,DK818,263,Dundalk Institute of Technology,FALSE,2026,263,8,Business and administration
Computing in Games Development,DK820,234,Dundalk Institute of Technology,FALSE,2026,234,8,Information and Communication Technologies (ICTs)
Computing in Software Development,DK821,235,Dundalk Institute of Technology,FALSE,2026,235,8,Information and Communication Technologies (ICTs)
Computing in Data Science and AI,DK823,308,Dundalk Institute of Technology,FALSE,2026,308,8,Information and Communication Technologies (ICTs)
Computing in Development and Operations Engineering,DK824,261,Dundalk Institute of Technology,FALSE,2026,261,8,Information and Communication Technologies (ICTs)
Computing in Cybersecurity and Computing Infrastructure,DK825,264,Dundalk Institute of Technology,FALSE,2026,264,8,Information and Communication Technologies (ICTs)
Building Surveying,DK830,318,Dundalk Institute of Technology,FALSE,2026,318,8,Architecture and construction
Architectural Technology,DK831,331,Dundalk Institute of Technology,FALSE,2026,331,8,Architecture and construction
Construction Management,DK832,318,Dundalk Institute of Technology,FALSE,2026,318,8,Architecture and construction
Quantity Surveying,DK834,331,Dundalk Institute of Technology,FALSE,2026,331,8,Architecture and construction
Engineering (Common Entry),DK843,275,Dundalk Institute of Technology,FALSE,2026,275,8,Engineering and engineering trades
Mechanical Engineering,DK844,287,Dundalk Institute of Technology,FALSE,2026,287,8,Engineering and engineering trades
Electrical and Electronic Engineering,DK845,299,Dundalk Institute of Technology,FALSE,2026,299,8,Engineering and engineering trades
Civil Engineering,DK846,269,Dundalk Institute of Technology,FALSE,2026,269,8,Architecture and construction
International Tourism Management,DK850,316,Dundalk Institute of Technology,FALSE,2026,316,8,Personal services
Hospitality Management with Business,DK851,327,Dundalk Institute of Technology,FALSE,2026,327,8,Personal services
Event Management with Marketing,DK852,269,Dundalk Institute of Technology,FALSE,2026,269,8,Personal services
Marketing and International Tourism Management,DK853,306,Dundalk Institute of Technology,FALSE,2026,306,8,Business and administration
Arts,DK861,237,Dundalk Institute of Technology,FALSE,2026,237,8,Social and behavioural sciences
Social Care,DK862,281,Dundalk Institute of Technology,FALSE,2026,281,8,Welfare
Creative Media,DK863,279,Dundalk Institute of Technology,FALSE,2026,279,8,Arts
Film and Television Production,DK864,246,Dundalk Institute of Technology,FALSE,2026,246,8,Arts
Audio and Music Production,DK865,219,Dundalk Institute of Technology,FALSE,2026,219,8,Arts
Applied Youth Work [Interview],DK866,240,Dundalk Institute of Technology,FALSE,2026,240,8,Welfare
Sport and Exercise with Business,DK867,184,Dundalk Institute of Technology,FALSE,2026,184,8,Personal services
"Drama, Theatre and Film",DK868,244,Dundalk Institute of Technology,FALSE,2026,244,8,Arts
Musical Theatre (Audition),DK869,471,Dundalk Institute of Technology,FALSE,2026,471,8,Arts
General Nursing,DK870,403,Dundalk Institute of Technology,FALSE,2026,403,8,Health
Intellectual Disability Nursing,DK872,297,Dundalk Institute of Technology,FALSE,2026,297,8,Health
Mental Health Nursing,DK874,366,Dundalk Institute of Technology,FALSE,2026,366,8,Health
Early Childhood Education,DK876,327,Dundalk Institute of Technology,FALSE,2026,327,8,Welfare
Midwifery,DK877,449,Dundalk Institute of Technology,FALSE,2026,449,8,Health
Health and Physical Activity,DK880,226,Dundalk Institute of Technology,FALSE,2026,226,8,Health
Sustainable Agriculture,DK882,373,Dundalk Institute of Technology,FALSE,2026,373,8,"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary"
Biopharmaceutical Science,DK883,247,Dundalk Institute of Technology,FALSE,2026,247,8,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
Nutrition and Health,DK888,262,Dundalk Institute of Technology,FALSE,2026,262,8,Health
Music and Performance Technologies,DK892,260,Dundalk Institute of Technology,FALSE,2026,260,8,Arts
Arts (Joint-Honours),GY101,337,University of Galway,FALSE,2026,337,8,Arts
Psychology,GY104,534,University of Galway,FALSE,2026,534,8,Social and behavioural sciences
Arts (History),GY105,343,University of Galway,FALSE,2026,343,8,Humanities (except languages)
Arts (Mathematics and Education),GY109,371,University of Galway,FALSE,2026,371,8,Education
Arts (Children and Youth Studies),GY110,389,University of Galway,FALSE,2026,389,8,Social and behavioural sciences
Arts (English and Creative Writing),GY111,413,University of Galway,FALSE,2026,413,8,Arts
Arts with Human Rights,GY113,380,University of Galway,FALSE,2026,380,8,Social and behavioural sciences
"Arts (Drama, Theatre and Performance Studies)",GY118,404,University of Galway,FALSE,2026,404,8,Arts
Arts (Journalism),GY119,367,University of Galway,FALSE,2026,367,8,Journalism and information
Na D na (Cumars id agus Gaeilge),GY122,357,University of Galway,FALSE,2026,357,8,Arts
Social Sciences and Sustainability,GY123,341,University of Galway,FALSE,2026,341,8,Social and behavioural sciences
Arts (Film and Digital Media),GY127,379,University of Galway,FALSE,2026,379,8,Arts
Arts (Global Languages),GY128,356,University of Galway,FALSE,2026,356,8,Languages
Arts (Global Experience),GY129,401,University of Galway,FALSE,2026,401,8,Arts
Arts (Music),GY130,413,University of Galway,FALSE,2026,413,8,Arts
"Government (Politics, Economics and Law)",GY132,402,University of Galway,FALSE,2026,402,8,Social and behavioural sciences
Education (Computer Science and Mathematical Studies),GY133,413,University of Galway,FALSE,2026,413,8,Education
Geography and Geosystems,GY134,357,University of Galway,FALSE,2026,357,8,Environment
Arts (Global Media),GY135,342,University of Galway,FALSE,2026,342,8,Arts
Na D na (Gaeilge agus L ann an Aistri ch in),GY136,405,University of Galway,FALSE,2026,405,8,Languages
"Arts (Child, Youth and Family: Policy and Practice)",GY137,339,University of Galway,FALSE,2026,339,8,Welfare
Commerce,GY201,451,University of Galway,FALSE,2026,451,8,Business and administration
Commerce (International) with French,GY202,510,University of Galway,FALSE,2026,510,8,Business and administration
Commerce (International) with German,GY203,467,University of Galway,FALSE,2026,467,8,Business and administration
Commerce (International) with Spanish,GY204,506,University of Galway,FALSE,2026,506,8,Business and administration
Business Information Systems,GY206,474,University of Galway,FALSE,2026,474,8,Business and administration
Commerce (Accounting),GY207,509,University of Galway,FALSE,2026,509,8,Business and administration
Commerce (Gaeilge),GY208,488,University of Galway,FALSE,2026,488,8,Business and administration
Commerce (Global Experience),GY209,530,University of Galway,FALSE,2026,530,8,Business and administration
Law (BCL) and Business,GY250,509,University of Galway,FALSE,2026,509,8,Law
Law (BCL),GY251,509,University of Galway,FALSE,2026,509,8,Law
Law (BCL) and Human Rights,GY252,508,University of Galway,FALSE,2026,508,8,Law
"Law (BCL), Criminology and Criminal Justice",GY254,507,University of Galway,FALSE,2026,507,8,Law
Business Studies (International Hotel Management) [Interview] [Shannon C,GY261,468,University of Galway,FALSE,2026,468,8,Business and administration
Commerce (International Hotel Management) [Interview] [Shannon College],GY262,706,University of Galway,FALSE,2026,706,8,Business and administration
Science,GY301,455,University of Galway,FALSE,2026,455,8,Biological and related sciences
Biomedical Science,GY303,544,University of Galway,FALSE,2026,544,8,Biological and related sciences
Biotechnology,GY304,511,University of Galway,FALSE,2026,511,8,Engineering and engineering trades
Environmental Science,GY308,434,University of Galway,FALSE,2026,434,8,Environment
Financial Mathematics and Economics,GY309,520,University of Galway,FALSE,2026,520,8,Mathematics and statistics
Marine Science,GY310,443,University of Galway,FALSE,2026,443,8,Physical sciences
Occupational Health and Safety Management,GY313,410,University of Galway,FALSE,2026,410,8,Hygiene and occupational health services
Earth and Ocean Sciences,GY314,432,University of Galway,FALSE,2026,432,8,Physical sciences
Biopharmaceutical Chemistry,GY318,532,University of Galway,FALSE,2026,532,8,Biological and related sciences
Mathematical Science,GY319,531,University of Galway,FALSE,2026,531,8,Mathematics and statistics
Physics,GY320,444,University of Galway,FALSE,2026,444,8,Physical sciences
Genetics and Genomics,GY321,463,University of Galway,FALSE,2026,463,8,Biological and related sciences
Agricultural Science,GY322,410,University of Galway,FALSE,2026,410,8,Agriculture
Zoology,GY323,473,University of Galway,FALSE,2026,473,8,Biological and related sciences
Computer Science and Information Technology,GY350,440,University of Galway,FALSE,2026,440,8,Information and Communication Technologies (ICTs)
Engineering (Undenominated),GY401,543,University of Galway,FALSE,2026,543,8,Engineering and engineering trades
Civil Engineering,GY402,521,University of Galway,FALSE,2026,521,8,Architecture and construction
Mechanical Engineering,GY405,554,University of Galway,FALSE,2026,554,8,Engineering and engineering trades
Electronic and Computer Engineering,GY406,510,University of Galway,FALSE,2026,510,8,Engineering and engineering trades
Biomedical Engineering,GY408,555,University of Galway,FALSE,2026,555,8,Engineering and engineering trades
Project and Construction Management,GY410,510,University of Galway,FALSE,2026,510,8,Architecture and construction
Energy Systems Engineering,GY413,543,University of Galway,FALSE,2026,543,8,Engineering and engineering trades
Electrical and Electronic Engineering,GY414,520,University of Galway,FALSE,2026,520,8,Engineering and engineering trades
Medicine - Undergraduate Entry [HPAT required],GY501,730,University of Galway,FALSE,2026,730,8,Health
Occupational Therapy,GY502,542,University of Galway,FALSE,2026,542,8,Health
Speech and Language Therapy,GY503,542,University of Galway,FALSE,2026,542,8,Health
Podiatric Medicine,GY504,476,University of Galway,FALSE,2026,476,8,Health
Pharmacy,GY505,589,University of Galway,FALSE,2026,589,8,Health
General Nursing,GY515,451,University of Galway,FALSE,2026,451,8,Health
Mental Health Nursing,GY516,403,University of Galway,FALSE,2026,403,8,Health
Midwifery,GY517,498,University of Galway,FALSE,2026,498,8,Health
Enterprise Management,GB002,193,Galway Business School,FALSE,2026,193,8,Business and administration
Arts [Limerick],MI002,280,Mary Immaculate College,FALSE,2026,280,8,Arts
Psychology [Limerick],MI003,443,Mary Immaculate College,FALSE,2026,443,8,Social and behavioural sciences
Education - Primary Teaching - International [Limerick],MI004,462,Mary Immaculate College,FALSE,2026,462,8,Education
Education - Primary Teaching [Limerick],MI005,475,Mary Immaculate College,FALSE,2026,475,8,Education
Education - Primary Teaching - Gaeltacht Applicants [Limerick],MI006,441,Mary Immaculate College,FALSE,2026,441,8,Education
Early Childhood Care and Education [Limerick],MI007,388,Mary Immaculate College,FALSE,2026,388,8,Education
Education and Psychology - Primary Teaching [Limerick],MI008,554,Mary Immaculate College,FALSE,2026,554,8,Education
Drama and English [Limerick],MI010,308,Mary Immaculate College,FALSE,2026,308,8,Arts
"Education, Business Studies and Accounting [Thurles]",MI016,378,Mary Immaculate College,FALSE,2026,378,8,Education
"Education, Business Studies and Religious Studies [Thurles]",MI017,337,Mary Immaculate College,FALSE,2026,337,8,Education
"Education, Gaeilge and Religious Studies [Thurles]",MI018,400,Mary Immaculate College,FALSE,2026,400,8,Education
"Education, Gaeilge and Business Studies [Thurles]",MI019,402,Mary Immaculate College,FALSE,2026,402,8,Education
"Education, Mathematics and Gaeilge [Thurles]",MI020,433,Mary Immaculate College,FALSE,2026,433,8,Education
"Education, Mathematics and Business Studies [Thurles]",MI021,402,Mary Immaculate College,FALSE,2026,402,8,Education
"Education, Home Economics and Business Studies [Thurles]",MI022,478,Mary Immaculate College,FALSE,2026,478,8,Education
Arts,LM002,317,University of Limerick,FALSE,2026,317,8,Humanities (except languages)
Social Sciences,LM019,430,University of Limerick,FALSE,2026,430,8,Social and behavioural sciences
Law and Accounting,LM020,454,University of Limerick,FALSE,2026,454,8,Law
Common and Civil Law,LM027,542,University of Limerick,FALSE,2026,542,8,Law
Criminal Justice,LM028,391,University of Limerick,FALSE,2026,391,8,Law
Law Plus,LM029,500,University of Limerick,FALSE,2026,500,8,Law
Global Politics,LM030,360,University of Limerick,FALSE,2026,360,8,Social and behavioural sciences
LLB Law and Cyber Security,LM032,510,University of Limerick,FALSE,2026,510,8,Law
Psychology and Sociology,LM038,486,University of Limerick,FALSE,2026,486,8,Social and behavioural sciences
Journalism and Digital Communication,LM039,388,University of Limerick,FALSE,2026,388,8,Journalism and information
European Studies,LM040,377,University of Limerick,FALSE,2026,377,8,Humanities (except languages)
Applied Languages,LM044,349,University of Limerick,FALSE,2026,349,8,Languages
Business Studies (options),LM050,442,University of Limerick,FALSE,2026,442,8,Business and administration
International Business,LM056,532,University of Limerick,FALSE,2026,532,8,Business and administration
Financial Mathematics,LM058,445,University of Limerick,FALSE,2026,445,8,Mathematics and statistics
Technology Management,LM063,400,University of Limerick,FALSE,2026,400,8,Information and Communication Technologies (ICTs)
Environmental Science,LM066,403,University of Limerick,FALSE,2026,403,8,Environment
Food Science and Health,LM068,424,University of Limerick,FALSE,2026,424,8,Manufacturing and processing
Product Design and Technology [Portfolio],LM076,451,University of Limerick,FALSE,2026,451,8,Manufacturing and processing
Aeronautical Engineering,LM077,544,University of Limerick,FALSE,2026,544,8,Engineering and engineering trades
Construction Management and Engineering,LM082,467,University of Limerick,FALSE,2026,467,8,Architecture and construction
Sport and Exercise Sciences,LM089,507,University of Limerick,FALSE,2026,507,8,Personal services
Physical Education-concurrent Teacher Education,LM090,521,University of Limerick,FALSE,2026,521,8,Education
Languages-concurrent Teacher Education,LM091,451,University of Limerick,FALSE,2026,451,8,Education
Biology with Chemistry/Physics/Agricultural Science-Teacher Education,LM092,480,University of Limerick,FALSE,2026,480,8,Education
Equine Science,LM093,340,University of Limerick,FALSE,2026,340,8,Biological and related sciences
Graphics and Construction Technology-concurrent Teacher Education,LM094,477,University of Limerick,FALSE,2026,477,8,Education
"Graphics, Engineering and Technology-concurrent Teacher Education",LM095,421,University of Limerick,FALSE,2026,421,8,Education
Physical Science with Chemistry and Physics-concurrent Teacher Education,LM096,438,University of Limerick,FALSE,2026,438,8,Education
Mathematics and Computer Science-concurrent Teacher Education,LM097,433,University of Limerick,FALSE,2026,433,8,Education
Architecture [Portfolio],LM099,625,University of Limerick,FALSE,2026,625,8,Architecture and construction
Physiotherapy,LM100,579,University of Limerick,FALSE,2026,579,8,Health
Medicine - Graduate Entry [GAMSAT required],LM101,56,University of Limerick,FALSE,2026,56,8,Health
Psychology,LM102,500,University of Limerick,FALSE,2026,500,8,Social and behavioural sciences
Paramedic Studies Clean Driving Licence required (Full B and minimum Pro,LM103,389,University of Limerick,FALSE,2026,389,8,Health
Occupational Therapy,LM104,542,University of Limerick,FALSE,2026,542,8,Health
Exercise and Health Fitness Management,LM105,430,University of Limerick,FALSE,2026,430,8,Personal services
Speech and Language Therapy,LM106,544,University of Limerick,FALSE,2026,544,8,Health
Interaction Design,LM113,357,University of Limerick,FALSE,2026,357,8,Information and Communication Technologies (ICTs)
"Music, Media and Performance Technology",LM114,381,University of Limerick,FALSE,2026,381,8,Information and Communication Technologies (ICTs)
Chemical and Biochemical Engineering,LM115,509,University of Limerick,FALSE,2026,509,8,Physical sciences
Engineering,LM116,531,University of Limerick,FALSE,2026,531,8,Engineering and engineering trades
Electronic and Computer Engineering,LM118,465,University of Limerick,FALSE,2026,465,8,Engineering and engineering trades
Computer Science,LM121,362,University of Limerick,FALSE,2026,362,8,Information and Communication Technologies (ICTs)
Biological and Chemical Sciences,LM123,474,University of Limerick,FALSE,2026,474,8,Biological and related sciences
Mathematics,LM124,455,University of Limerick,FALSE,2026,455,8,Mathematics and statistics
Physics,LM125,433,University of Limerick,FALSE,2026,433,8,Physical sciences
Electrical Engineering,LM126,477,University of Limerick,FALSE,2026,477,8,Engineering and engineering trades
Irish Music Audition,LM131,520,University of Limerick,FALSE,2026,520,8,Arts
Irish Dance Audition,LM132,425,University of Limerick,FALSE,2026,425,8,Arts
Contemporary Dance Audition,LM133,416,University of Limerick,FALSE,2026,416,8,Arts
Voice Audition,LM134,422,University of Limerick,FALSE,2026,422,8,Arts
Music Audition,LM135,399,University of Limerick,FALSE,2026,399,8,Arts
General Nursing,LM150,433,University of Limerick,FALSE,2026,433,8,Health
Mental Health Nursing,LM152,399,University of Limerick,FALSE,2026,399,8,Health
Intellectual Disability Nursing,LM154,357,University of Limerick,FALSE,2026,357,8,Health
Midwifery,LM156,452,University of Limerick,FALSE,2026,452,8,Health
Immersive Software Engineering [Portfolio],LM173,652,University of Limerick,FALSE,2026,652,8,Information and Communication Technologies (ICTs)
Artificial Intelligence and Machine Learning,LM174,456,University of Limerick,FALSE,2026,456,8,Information and Communication Technologies (ICTs)
Immersive Bioscience & Biotherapeutics [Portfolio],LM175,655,University of Limerick,FALSE,2026,655,8,Biological and related sciences
Medicine - Undergraduate Entry [HPAT required],LM301,730,University of Limerick,FALSE,2026,730,8,Health
Theology and Arts (jointly awarded with Maynooth University),MU001,312,St Patrick`s Pontifical University  Maynooth,FALSE,2026,312,8,Humanities (except languages)
Theology,MU002,321,St Patrick`s Pontifical University  Maynooth,FALSE,2026,321,8,Humanities (except languages)
Philosophy,MU004,326,St Patrick`s Pontifical University  Maynooth,FALSE,2026,326,8,Humanities (except languages)
Education - Primary Teaching (Froebel),MH001,495,Maynooth University,FALSE,2026,495,8,Education
Education - Primary Teaching - Gaeltacht  Applicants (Froebel)             #,MH002,,Maynooth University,FALSE,2026,,8,Education
Early Childhood - Teaching and Learning (full-time),MH003,366,Maynooth University,FALSE,2026,366,8,Education
Arts,MH101,300,Maynooth University,FALSE,2026,300,8,Humanities (except languages)
Music Audition                                                             #,MH103,,Maynooth University,TRUE,2026,,8,Arts
Psychology (through Arts),MH106,481,Maynooth University,FALSE,2026,481,8,Social and behavioural sciences
Social Science,MH107,326,Maynooth University,FALSE,2026,326,8,Social and behavioural sciences
Media Studies,MH109,337,Maynooth University,FALSE,2026,337,8,Arts
Creative Writing and English,MH111,356,Maynooth University,FALSE,2026,356,8,Humanities (except languages)
Community and Youth Work (full-time) [Interview]                           #,MH116,,Maynooth University,TRUE,2026,,8,Welfare
Science,MH201,346,Maynooth University,FALSE,2026,346,8,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
Biotechnology,MH202,423,Maynooth University,FALSE,2026,423,8,Biological and related sciences
Biological and Geographical Sciences,MH203,401,Maynooth University,FALSE,2026,401,8,Biological and related sciences
Physics with Astrophysics,MH204,401,Maynooth University,FALSE,2026,401,8,Physical sciences
Biomedical Science,MH205,451,Maynooth University,FALSE,2026,451,8,Biological and related sciences
Theoretical Physics and Mathematics,MH206,500,Maynooth University,FALSE,2026,500,8,Mathematics and statistics
Data Science,MH207,413,Maynooth University,FALSE,2026,413,8,Information and Communication Technologies (ICTs)
Psychology (through Science),MH209,498,Maynooth University,FALSE,2026,498,8,Social and behavioural sciences
Pharmaceutical and Biomedical Chemistry,MH210,430,Maynooth University,FALSE,2026,430,8,Physical sciences
Science (with Education) or Mathematics and Computer Science (with Educa,MH212,422,Maynooth University,FALSE,2026,422,8,"Interdisciplinary programmes and qualifications involving natural sciences, Mathematics and statistics"
Sport Science and Health,MH221,441,Maynooth University,FALSE,2026,441,8,Biological and related sciences
Food Science and Human Nutrition,MH222,422,Maynooth University,FALSE,2026,422,8,Biological and related sciences
Engineering,MH304,363,Maynooth University,FALSE,2026,363,8,Engineering and engineering trades
Product Design and Innovation,MH305,326,Maynooth University,FALSE,2026,326,8,Engineering and engineering trades
Robotics and Intelligent Devices,MH306,353,Maynooth University,FALSE,2026,353,8,Engineering and engineering trades
Quantitative Finance,MH402,465,Maynooth University,FALSE,2026,465,8,Business and administration
Accounting and Finance,MH403,411,Maynooth University,FALSE,2026,411,8,Business and administration
Business,MH404,400,Maynooth University,FALSE,2026,400,8,Business and administration
Business and Accounting,MH407,401,Maynooth University,FALSE,2026,401,8,Business and administration
Business and Languages,MH409,401,Maynooth University,FALSE,2026,401,8,Business and administration
Finance,MH410,400,Maynooth University,FALSE,2026,400,8,Business and administration
Entrepreneurship,MH411,360,Maynooth University,FALSE,2026,360,8,Business and administration
Business with Sport Science,MH412,451,Maynooth University,FALSE,2026,451,8,Business and administration
Economics - option of an integrated MSc Economics,MH415,422,Maynooth University,FALSE,2026,422,8,Social and behavioural sciences
International Economics,MH416,402,Maynooth University,FALSE,2026,402,8,Social and behavioural sciences
LLB Law,MH501,453,Maynooth University,FALSE,2026,453,8,Law
BCL Law,MH502,400,Maynooth University,FALSE,2026,400,8,Law
